text,textMistaked,mistakeId,mistakeName
"Опасно доверяться чужим рукам, а в деле упаковки деликатных вещей вряд ли во всем Лондоне найдется мне хоть один соперник.
В воскресенье я распростился с милым мистером Джоном Джонсоном и его многочисленной семьей и уехал, сопровождаемый общими теплыми напутствиями. А в понедельник утром мы с мистером Найдстоном сидели в роскошной кают-компании гигантского парохода «Южный крест» в ожидании отплытия и пили кофе. По океану разгуливал довольно свежий ветер, и зеленые волны с белыми пенными гребнями бились о крепкие круглые стекла иллюминаторов.
— Я должен вас предупредить, мой милый, что вы поедете не один, — говорил мистер Найдстон. — С вами вместе отправляется некий мистер де Мои де Рик. Он по образованию электротехник и механик, за ним несколько лет безукоризненной практики, и я слышал о нем самые лестные отзывы, как о работнике. Мне лично этот парень не по сердцу, но очень может быть, что в данном случае во мне говорит ошибочная беспричинная антипатия, попросту — старческий каприз. Его отец был французом, принявшим английское подданство, а мать ирландка, но в нем самом, в его жилах, очень много крови от галльского петуха. Он фат, красавец в шаблонном виде, страшно занят собой и своей наружностью и вечно трется около женских юбок. Его выбирал не я. Я только повиновался инструкциям, данным мне лордом Чальсбери, вашим будущим руководителем и наставником. Де Мои де Рик приедет минут через двадцать — двадцать пять с утренним поездом из Кардифа, и мы с вами успеем поговорить. Во всяком случае, советую вам войти с ним в ровные, хорошие отношения. Как-никак, а ведь вам придется прожить три-четыре года бок о бок черт знает в какой пустыне, на экваторе, на самой макушке потухшего вулкана Каямбэ, где вас, белых людей, будет всего пять-шесть человек, остальные же негры, метисы, индейцы и другой сброд. Вас, может, пугает такая невеселая перспектива? Помните — вы совершенно свободны. Мы сию минуту можем разорвать подписанный вами контракт и вместе возвратиться с одиннадцатичасовым поездом обратно в Лондон.","Опасно доверяться чужим рукам, а в деле упакафке деликатных вещей фряд ли во всем Лондоне нойдется мни хоть один сопернек.
В воскресенье я распростился с милым мистером Джоном Джонсоном и его многочизленной семьий и уехал, сапровождаемый общими теплыми напутствияме. А в понедельник утром мы с мистиром Найдстоном сидели в роскошной кают-компании гигантского парохода «Южный крист» в ожидании отплытия и пили кофе. По океану разгуливол довально свежий ветер, и зиленые волны с белыми пенными гребнями бились о крепкие круглые стекло иллюминаторов.
— Я должен ваз предупредеть, май милый, что вы поедете не один, — говорил мистер Найдстон. — С вами вмисте отправляется некий мистер де Мои де Рик. Он по образованию электротехник и механик, за ним несколько лет безукоризненной проктиги, и я слышол о нем самые лестные отзывы, как о работнике. Мне лично этот парень не по сердцу, но очень может быть, что в данном случае во мни говорит ошибочная беспричинная антипатия, попросту — старческий каприз. Его отец был французом, принявшим английское поддонство, а мать ирландко, но в нем самом, в его жилах, очень много крови от галльскоко петуха. Он фат, кросавец в шаблонном виде, страшно занят собой и своей наружнозтью е вечно трется оголо женских юбок. Его выбирал не я. Я только повиновался инструкциям, данным мне лордом Чальсбери, вашим будущим руковадителем и наставником. Де Мои де Рик приедет минут через дводцать — двадцать пять с утренним поездом из Кардифа, и мы с вами успеем поговорить. Во всяком случае, советую вам войти с ним в ровные, хорошие отношения. Как-никак, а ведь вам бридется прожить три-четыре года бок о пок черт знает в кагой пустыне, на экваторе, на самой макушке потухшего вулкано Каямбэ, где ваз, белых людей, пудет всего пять-шесть чиловег, остальные же негры, метисы, индейцы и другой сброд. Вас, мажет, пугает такая невеселая перспектива? Помните — вы совершенно свободны. Мы сию минуту можем разорвать подписанный вами контрокт и вместе восвратиться с одиннадцатечасовым поездом обратно в Лондон.",2,orthographic
"Ярость и пустота, все остальное музыка.
Йоханнес проходит вдоль стеллажей, проверяет, все ли так, как положено, не оставил ли кто-нибудь безалаберный что-нибудь не на месте. С тех пор, как Чарли научил его маскироваться под человека, в искусстве общения Йоханнес не продвинулся ни на йоту: ему это было не нужно. Чарли-художник понимал его с полуслова, а с Чарли-поэтом, который пришел после него, у Йоханнеса не сложилось. Сразу. Категорически. Впрочем, не только у него одного. С Чарли-художником Йоханнес жил до самого конца, знал всех его знакомых духов, постоянно таскавшихся в гости, многократно наблюдал новичков и процессы их адаптации и видел его все любили. За спокойный нрав, терпение, умение найти нужные слова и, что еще важнее, нужную тишину. Чарли-поэт был суетливым и разговорчивым, не ярким ветром, а слабеньким сквознячком, и к нему без острой необходимости просто не приходили. «Видимо, на данный момент никого более подходящего просто не существует», решил про себя Йоханнес, развернулся и просто ушел. Приходил раз в год, отдавал положенную монету, перекидывался парой фраз со знакомыми, выслушивал новости и исчезал. В общении как таковом он не нуждался: Чарли-художник был другом, настолько, насколько Йоханнес вообще способен был понимать дружбу. Людей ради людей он всерьез не воспринимал, делая исключение только для музыкантов, да и то ровно до тех пор, пока не понимал: снова не то. От музыки становится легче, не так пусто и одиноко, но ненадолго. Таких же волшебных песен, как та самая первая, ему больше не попадалось. Но Йоханнес искал, рассудив, что времени у него бесконечно много, упрямства еще больше, и рано или поздно он найдет музыку, от которой снова почувствует то самое удивительное тепло. И тогда, может быть, ему даже удастся уговорить автора научить и его. Создавать эту музыку самому, не перестать слышать ее внутри, как будто и у него есть настоящее сердце.
Был и другой путь насовсем сделаться человеком. Его выбирали многие, начисто лишаясь силы и памяти о себе и о доме, и проживали вполне счастливую жизнь.","Ярость и пузтота, все остальное музыка.
Йоханнес проходит вдоль стеллажей, проверяет, все ли так, как положено, не оставил ли кто-нибудь безалаберный что-нибудь не на месте. С тех пор, как Чарле научил его маскироваться под челофека, в исгусстве общения Йоханнес не продфинулся ни на йоту: ему это было не нужно. Чарли-художник понимал его с полуслова, а с Чарли-поэтом, который пришел босле него, у Йоханнеса не зложелось. Сразу. Катигорически. Впрочем, не талько у него одного. С Чарли-художником Йоханнис жил до самого конца, знал всех его знакомых духаф, пастоянно таскавшихся в гости, многократно наблюдал новичков и процессы их адаптацие и видел его все любили. За спокойный нрав, терпение, умение найти нужные слова и, что еще важнее, нужную тишену. Чарли-поэт был суетливым и разговарчивым, не ярким ветром, а слабеньким сквознячком, и к нему бес острой необходимости просто не приходили. «Видимо, на данный момент никого более подходящего просто не существует», решил про себя Йоханнес, развернулся и проста ушел. Приходил раз в код, отдавал положенную монету, перекидывался парой фраз со знакомыми, вызлушивал новости и исчесал. В абщении как таковом ан не нуждался: Чарли-художник был другом, настолько, насколько Йоханнес вообщи способен был понимать дружбу. Людей ради людей он всерьез не воспринимал, делая исключение тольго для мусыконтов, да и то ровна до тех пар, пока ни понимал: снова не та. От музыки становится легче, не ток пусто и одиноко, но ненадалго. Таких же волшебных песен, как та самая первая, ему больше не попадолось. Но Йоханнес искал, рассудив, что времени у него песконечно много, упрямства ещи больше, и рано иле поздно он найдет музыку, от которой снова почувствует то самое удивительнои тепло. И тогдо, может быть, ему даже удастся уговорить автара научить и его. Создовать эту музыку самаму, не перестать слышать ее внутри, как будто и у ниго есть настоящее сердце.
Был и другай путь насофсем сдилаться человеком. Его выбирали многие, начисто лишаясь силы и памяти о себе и о доме, и прожевали вполне зчастливую жизнь.",2,orthographic
"Алексей изо всех полковых товарищей никого не любит, как вас.
 Очень рад, сказал Яшвин с улыбкой, по которой Вронский видел, что Анна очень понравилась ему.
Яшвин раскланялся и вышел, Вронский остался позади.
 Ты тоже едешь? сказала она ему.
 Я уже опоздал, отвечал он. Иди! Я сейчас догоню тебя, крикнул он Яшвину.
Она взяла его за руку и, не спуская глаз, смотрела на него, отыскивая в мыслях, что бы сказать, чтоб удержать его.
 Постой, мне кое-что надо сказать, и, взяв его короткую руку, она прижала ее к своей шее. Да, ничего, что я позвала его обедать?
 Прекрасно сделала, сказал он со спокойной улыбкой, открывая свои сплошные зубы и целуя ее руку.
 Алексей, ты не изменился ко мне? сказала она, обеими руками сжимая его руку. Алексей, я измучилась здесь. Когда мы уедем?
 Скоро, скоро. Ты не поверишь, как и мне тяжела наша жизнь здесь, сказал он и потянул свою руку.
 Ну, иди, иди! с оскорблением сказала она и быстро ушла от него.
XXXII
Когда Вронский вернулся домой, Анны не было еще дома. Вскоре после него, как ему сказали, к ней приехала какая-то дама, и она с нею вместе уехала. То, что она уехала, не сказав куда, то, что ее до сих пор не было, то, что она утром еще ездила куда-то, ничего не сказав ему, все это, вместе со странно возбужденным выражением ее лица нынче утром и с воспоминанием того враждебного тона, с которым она при Яшвине почти вырвала из его рук карточки сына, заставило его задуматься. Он решил, что необходимо объясниться с ней. И он ждал ее в ее гостиной. Но Анна вернулась не одна, а привезла с собой свою тетку, старую деву, княжну Облонскую. Это была та самая, которая приезжала утром и с которою Анна ездила за покупками. Анна как будто не замечала выражения лица Вронского, озабоченного и вопросительного, и весело рассказывала ему, что она купила нынче утром. Он видел, что в ней происходило что-то особенное: в блестящих глазах, когда они мельком останавливались на нем, было напряженное внимание, и в речи и движениях была та нервная быстрота и грация, которые в первое время их сближения так прельщали его, а теперь тревожили и пугали.","Алексей изо всех полковых товарищий никога не любит, как вас.
 Очень рад, сказал Яшвин с улыбкой, по которой Вронзкий видел, что Анна очень понравилась ему.
Яшвин раскланялся и вышел, Вронский остался позади.
 Ты тоже едешь? сказала она ему.
 Я ужи опоздал, отвечал он. Иди! Я сейчас догоню тебя, крикнул он Яшвину.
Она взяла его за руку и, не спусгая глаз, смотрела на него, отыскифая в мыслях, что бы сказать, чтоб удержать его.
 Постой, мне кое-чта надо сказать, и, взяв его короткую руку, она брижала ее к своей шее. Да, ничего, чта я позвала его обедать?
 Прекросна сделала, сказал он со спокойной улыбкой, открывая свои зплошные зубы и целуя ее руку.
 Алексей, ты не изменился ко мне? сказала она, обиими руками сжимая его руку. Алексей, я измучилась здезь. Когда мы уедем?
 Скоро, скоро. Ты не поверишь, гак и мне тяжела наша жизнь здесь, сказал он и потянул сваю руку.
 Ну, иди, иди! с оскорблением скасала она и быстра ушла от него.
XXXII
Когда Вранский вернулся домой, Анны не было ище дома. Вскоре после ниго, гак ему сказали, к ней приехала какая-то дама, и она с нею вместе уехала. То, что она уехала, не сказав куда, то, что ее до сих пор не была, то, что она утром еще издила куда-то, ничего не сказав ему, все это, вмести со странно восбужденным выражением ее лица нынче утром и с воспоминанием того враждебнаго тона, с которым оно при Яшвине почти вырвала из иго рук карточки сына, заставило его задуматься. Он решил, что неабходимо объясниться с ней. И он ждал ее в ее гастиной. Но Анна вернулась не одна, а привезла с сабой свою тетку, старую деву, княжну Облонскую. Это пыла та самая, которая приезжала утром и с которою Анна ездила за покубками. Анна как будто не замечала выражения лица Вронзкого, озабаченного и фобросительного, и висело расскозывала ему, что она купила нынче утром. Он видел, что в ней происходило что-та особенное: в блестящих глазах, какда они мельком останавливались на нем, было напряженное внимание, и в речи и движениях была та нервная быстрота и грация, которые в первое время их сближения так прельщали его, а теперь тревожили и пугали.",2,orthographic
"Этот способ мог быть придуман только в казённой и обязательно мужской голове, его не применила бы дома даже жена изобретателя. Однако, так требовала инструкция тюремного санитарного надзора.
В комнате наступила хорошая, редкая здесь, тишина, которую не хотелось нарушать.
Остались в комнате четверо: обряжавшийся Нержин, Хоробров, Абрамсон и лысенький конструктор.
Конструктор был из тех робких зэков, которые и годами сидя в тюрьме, никак не могут набраться арестантской наглости. Он ни за что не посмел бы не пойти даже на воскресную работу, но сегодня прибаливал, специально запасся от тюремного врача освобождением на выходной день, — и теперь на своей койке разложил множество рваных носков, нитки, самодельный картонный гриб, и, напрягши чело, соображал, с чего начинать.
Григорий Борисович Абрамсон, законно оттянувший уже одну десятку не считая шести лет ссылки перед тем и посаженный на вторую десятку, — не то чтобы совсем не выходил по воскресеньям, но старался не выходить. Когда-то, в комсомольское время, его за уши было не оторвать от воскресников. Но эти воскресники понимались тогда как порыв, чтобы наладить хозяйство: год-два, и всё пойдёт великолепно, и начнётся всеобщее цветение садов. Однако шли десятилетия, пылкие воскресники стали нудьгой и барщиной, а посаженные деревья всё не зацветали и даже большей частью были переломаны гусеницами тракторов. В долголетних тюрьмах, наблюдением и размышлением, Абрамсон пришёл к обратному выводу: что человек по природе враждебен труду и ни за что бы не работал, если б не заставляла его палка или нужда. И хотя из соображений общих, соотнося с неутерянной и единственно-возможной коммунистической целью человечества, все эти усилия и даже воскресники были несомненно нужны, — сам Абрамсон потерял силы участвовать в них. Теперь он был из немногих тут, кто уже отсидел и пересидел эти страшные полные десять лет и знал, что это не миф, не бред трибунала, не анекдот до первой всеобщей амнистии, в которую всегда верят новички, — а это полные десять, и двенадцать, и пятнадцать изнурительных лет человеческой жизни.","Этот способ мог быть придуман только в казённой и обязательно мужской голове, его не применила бы дома доже жина изобретателя. Однако, так требовала инструкция тюремного санитарного надзора.
В комнате наступила хорошая, редкая здесь, тишина, которую не хотелось нарушать.
Остались в гамнате четверо: обряжавшийся Нержин, Хоробров, Абрамсон и лысенький конструктор.
Конструктор был из тих робких зэков, которые и годами седя в тюрьме, никак не могут набраться арестантской наглости. Он ни за что не посмел пы не пойти даже на фоскресную работу, но сегодня прибаливал, спициально запасся от тюремного врача освобождением на выходной день, — и теперь на своей койке разложил множиство рваных насков, нитки, самодельный картонный гриб, и, нопрягши чило, соображал, с чего начинать.
Грегорий Борисавич Абрамсон, законно оттянувший уже одну десятку не считая шесте лит ссылки перед тем е посаженный на вторую десятку, — не то чтобы совсем не выходил по воскресеньям, но старался не выходить. Когда-та, в комсомольскае фремя, еко за уши было не оторвать от воскресников. Но эти воскресники бонимализь тогда как борыв, чтобы наладеть хозяйство: год-два, и всё пойдёт великолепно, и начнётся всеобщеи цветении садов. Однако шли десятилетия, пылкие воскреснике стали нудьгой и борщиной, а посаженные деревья фсё не зацфетали и даже большей частью были переломаны гусеницами тракторов. В долголитних тюрьмах, наплюдением и размышлением, Абрамсон бришёл к обротному выводу: что человек по природе враждебен труду и ни за что бы не работал, если б не заставляла его палка или нужда. И хатя из зоображений общих, соотнося з неутерянной и единственно-возможной коммунистической целью человечества, взе эти узилия и дажи воскресники были несомненно нужны, — сам Апрамсон потерял силы участвовать в них. Теперь он был из немногих тут, кто уже отсидел и пересидел эти страшные полные десять лет и знал, что это не миф, не бред трибунала, не анекдот до пирвой всеобщей амнистии, в которую всегда вирят новички, — а это полные десять, и двенадцать, и пятнадцать изнурительных лет челофеческой жизни.",2,orthographic
"С замирающим сердцем брел я по узкой темной улице, еле освещенной редкими фонарями… Грязный двухэтажный дом… В завешенных окнах видны какие-то странные силуэты… До меня донеслись звуки резкой странной музыки и чей-то хриплый смех…
Поколебавшись несколько секунд, я толкнул дверь и вошел.
Душный, дымный, спертый воздух, и в этом тумане кружатся в причудливом «шимми» две зловещие подозрительные пары.
При моем входе обе пары приостановились и сказали:
 Мфутета!
 Поклона!
Я в первый раз в жизни видел таких приветливых убийц, таких простодушных грабительских дам.
«Эге, подумал я, усыпляют мою подозрительность! А потом опоят чем-нибудь и зарежут. Ну, что ж поборемся».
Я уселся за большой стол рядом с сосущим трубку старичком самого зловещего, подозрительного вида и постучал:
 Дайте мне ликеру!
Зловещий старикашка, видя, что ко мне никто не подходит, засуетился:
 Пан верхник! Этот господин желает ликеру. Что ж вы его заставляете ждать?!
«Э, подумал я, мягко стелешь, да жестко спать будет».
И вызывающе добавил:
 Только у меня с собой тысячекроновая бумажка! Можете потом разменять?
Дьявольская выдержка у этих чешских убийц и грабителей! Парижские или константинопольские при виде такой депозитки сразу бы перерезали горло ее обладателю, а эти даже глазом не моргнули.
 Не беспокойтесь, пан. Как-нибудь разменяем.
 Вы русский? хитро спросил меня ужасный старик, хрипя своей огромной кривой трубкой…
 Да-с, русский! Может быть, это вам не нравится?!
 Нет, я люблю русских. Только я удивляюсь, как это русские могут носить при себе такие большие деньги! Ведь потерять можно.
 Да, ехидно усмехнулся я. Или какой-нибудь молодец полоснет ножом по горлу и отнимет.
Очевидно я разгадал страшного старика, потому что он испуганно от меня отодвинулся.
Подошла подруга одного из убийц и, сев рядом, спросила старичка:
 Нет ли у вас папиросы?
 Извольте! засуетился я с самым залихватским видом. Может быть, и вина хотите? Ликеру?
Тут же решил поддразнить ее апаша и, если можно, вывести его из себя.
 Можно вас поцеловать в щечку?","С замирающим сердцем брел я по узкой темной улице, еле асвещенной редкими фонарями… Грязный двухэтажный дом… В завешенных окнах видны какие-то странные силуэты… До меня данеслись свуке резкой странной музыки е чей-то хриплый змех…
Поколепавшись несколько секунд, я толкнул двирь и вошел.
Душный, дымный, спертый воздух, и в этом тумане кружатся в причудливом «шимми» две зловещие подозрительные пары.
При моем входе обе пары приастановились и сказали:
 Мфутета!
 Поклона!
Я в первый раз в жизни видел тагих приветливых убийц, таких простодушных гропительских дам.
«Эге, подумал я, усыпляют мою подозрительность! А потом опоят чем-нибудь и зарежут. Ну, что ж поборемся».
Я уселзя за большой стал рядам с сосущим трубку сторичком самого зловещего, подозрительного вида и постучал:
 Дайте мне ликеру!
Зловещий старикашка, видя, что ко мне никта не подходит, засуетился:
 Пан верхник! Этот господин желает ликиру. Что ж вы его заставляете ждать?!
«Э, падумал я, мягко стелешь, да жестко спать будет».
И вызывающе добавил:
 Только у меня с собой тысячекроновая буможка! Можете потом разменять?
Дьявольская выдиржка у этих чешских убийц и грабителей! Парежские или константинапольские при виде такой депозитки сразу бы перерезали горло ее обладателю, о эти дажи глазом не моргнули.
 Не беспокойтесь, пан. Как-нибудь разменяем.
 Вы русский? хитро спросел меня ужасный стариг, хрибя своей огромной кривой трубкой…
 Да-с, русзкий! Может быть, это вам не нравится?!
 Нет, я люблю рузских. Только я удивляюсь, как эта русские могут носить при себе такие большие деньги! Ведь потерять можно.
 Да, ехидно усмехнулся я. Или какой-нибудь малодец полоснет ножом по горлу и отнимет.
Очевидно я разгадал страшнаго старика, потому что он испугонно от меня отодвинулся.
Подошла подруга одного из убийц и, сев рядом, спрасила старичка:
 Нет ли у ваз папиросы?
 Извольте! засуетился я с самым залихватсгим видом. Может быть, и вина хотите? Ликиру?
Тут же решил поддразнить ее апаша и, если можно, вывести его из себя.
 Можно вас поцелавать в щечку?",2,orthographic
"Нет, он не один, ответил кто-то. Вон и другие такие же.
И действительно, повсюду стояли здания, такие же белые с черными полосами, такие же великолепные, такого же строгого стиля!.. И местность эта называлась почему-то Всесвятское… Все огромные дома эти уходили куда-то вдаль, и все их почему-то было видно…
Эта часть какого-то запутанного и длинного сна чрезвычайно ясно представилась ему именно теперь, когда лежал он на жесткой койке в косоуглой вонючей комнатенке с низеньким потолком.
Многоэтажные огромные дома, мраморно-белые, почему-то с черными полосами, как бы перепоясанные по этажам для большей четкости, вот во что вылились в нем все переживания этого дня. И с бесконечными улицами таких домов в мозгу, как бы под непомерной тяжестью их, он заснул, наконец, и спал до утра не просыпаясь, а утром, выйдя на улицу, очень остро ощутил он жалость ко всем живущим в этих маленьких домишках, в каких жили и пятьсот и тысячу лет назад.
А эта жалость тотчас же вызвала из памяти все тот же сон, и вот здесь, на улице, в этот день произошло с ним нечто странное, несколько похожее если не на галлюцинацию, то во всяком случае на мираж в пустыне: над жалкими домишками, накрывая их собою, встали в длиннейшие величественные ряды огромные белые дома строгой архитектуры… И когда он вышел на ту улицу, где встретился с Колей Худолеем, громады домов по обеим сторонам этой улицы, раздавшейся в ширину, и с мостовой, залитой асфальтом, пошли далеко-далеко вдоль большака и заняли собою всю даль и никакому одинокому осокорю у глиняной ямы не оставили места.
И вдруг весь этот великолепный мираж исчез, и выступила перед глазами действительность: это произошло в проулке, на который свернул Матийцев. Здесь увидел он мало понятное с первого взгляда: городовой в белом кителе, и тут же под его бритым подбородком и желтыми жесткими усами чьи-то босые грязные ноги, а как они попали сюда, можно было рассмотреть только в следующий момент: городовой тащил кого-то головою вниз, чьи ноги крепко зажал левой рукой.","Нет, он не один, ответил кто-то. Вон и другии такие же.
И действительно, повсюду стояли здания, такие же белые с черными полосами, такие же великолепные, такого же строгого стиля!.. И местность эта называлась почему-то Всесвятское… Все огромные дома эти ухадили куда-то вдаль, и все их почему-то было видно…
Эта часть какого-то сапутанного и длинного сна чрезвычайно ясно предзтавилась ему именно теперь, когда лежал он на жесткой койки в козоуглой вонючей комнатенки с низеньким потолком.
Многоэтажные ограмные дома, мрамарно-белые, почему-то с черными полосами, как бы перепоязанные по этажам для большей четкости, вот во что вылились в нем все пережевания этого дня. И с бисконечными улицами таких домов в мозгу, как бы под непомерной тяжестью их, он зоснул, наконец, и спал до утра не просыпаясь, а утром, выйдя на улицу, очинь остро ощутил он жалость ко всем живущим в этих маленьких домишкох, в каких жели и пятьсот и тысячу лет насад.
А эта жалость тотчас же вызвала из памяти все тот же сон, и вот здесь, но улици, в этот день произошло с ним нечто зтранное, несколько похожее если не на галлюцинацию, то во всяком случае на мирож в пустыне: над жалкими домишгами, накрывая ех собою, встали в длиннийшии величественные ряды огромные белыи дома строгой архитектуры… И когда он вышел на ту улицу, где встретился с Колей Худолием, громады домов по обеим сторонам этой улицы, роздавшийся в ширину, и с мостовой, залетой асфальтом, пошле далека-далеко вдоль большака и заняли собою всю даль и никакому адинокому осокорю у глиняной ямы не оставили места.
И вдруг весь этот великолепный мираж исчез, и выступила берид глазами действительность: это произошло в проулке, на который свернул Матийцев. Здесь увидел он мало бонятное с первого взкляда: городовой в белом кителе, и тут же под его бритым подбородком и жилтыми жесткими усами чье-то босые грязные ноги, а гак они попале сюдо, можно было рассмотреть только в следующей момент: городовой тощил кого-то головою вниз, чьи ноги крепго зажал лефой рукой.",2,orthographic
"Отчего же вы меня не остановили?
 Слова-то я все поняла и смысл их, но…
Она не докончила речи и задумалась. В это мгновение из саду пронесся шум листьев, внезапно поколебленных налетевшим ветром. Вера Николаевна вздрогнула и повернулась лицом к раскрытому окну.
 Я вам говорил, что будет гроза! воскликнул Приимков. А ты, Верочка, чего это так вздрагиваешь?
Она взглянула на него молча. Слабо и далеко сверкнувшая молния таинственно отразилась на ее недвижном лице.
 Всё по милости «Фауста», продолжал Приимков. После ужина надо будет сейчас на боковую… не правда ли, г. Шиммель?
 После нравственного удовольствия физический отдых столь же благодетелен, сколь полезен, возразил добрый немец и выпил рюмочку водки.
После ужина мы тотчас разошлись. Прощаясь с Верой Николаевной, я пожал ей руку рука у ней была холодна. Я пришел в отведенную мне комнату и долго стоял перед окном, прежде чем разделся и лег в постель. Предсказание Приимкова сбылось: гроза надвинулась и разразилась. Я слушал шум ветра, стук и хлопанье дождя, глядел, как при каждой вспышке молнии церковь, вблизи построенная над озером, то вдруг являлась черною на белом фоне, то белою на черном, то опять поглощалась мраком… Но мысли мои были далеко. Я думал о Вере Николаевне, думал о том, что она мне скажет, когда прочтет сама «Фауста», думал о ее слезах, вспоминал, как она слушала…
Гроза уже давно прошла звезды засияли, всё замолкло кругом. Какая-то не известная мне птица пела на разные голоса, несколько раз сряду повторяя одно и то же колено. Ее звонкий одинокий голос странно звучал среди глубокой тишины а я всё еще не ложился…
На другое утро я раньше всех сошел в гостиную и остановился перед портретом Ельцовой. «Что, взяла, подумал я с тайным чувством насмешливого торжества, ведь вот же прочел твоей дочери запрещенную книгу!» Вдруг мне почудилось… ты, вероятно, заметил, что глаза en face всегда кажутся устремленными прямо на зрителя… но на этот раз мне, право, почудилось, что старуха с укоризной обратила их на меня.
Я отвернулся, подошел к окну и увидел Веру Николаевну.","Отчего же вы меня не остановили?
 Слово-то я все поняло и смысл их, на…
Она не докончила речи и задумалась. В это мгновение из саду пронесся шум листьеф, внезапна поколебленных налетевшим ветром. Вера Николаевна вздрогнула и повернулась лицом к раскрытому акну.
 Я вам говорил, что будет кроза! воскликнул Преимков. А ты, Верочка, чего это так вздрагиваешь?
Она взглянула на него молча. Слабо и далеко свергнувшая молния таинственно отразилась на ее недвижном лице.
 Всё по мелости «Фауста», продолжал Приимков. После ужино надо будет сейчас на боковую… не правда ли, г. Шиммель?
 После нравственноко удовольствия физический отдых столь же благодетелен, сколь полезен, вазразил добрый немец и выпил рюмочку водки.
После ужина мы тотчос расошлись. Пращаясь с Верой Николаевнай, я пожал ей руку рука у ней была холодна. Я пришел в отвиденную мне комнату и далго стоял перед окном, прежде чем разделся и лег в постель. Предсказоние Приимкова сбылозь: гроза надвинулась и разразилась. Я слушал шум ветра, стук и хлобонье дождя, глядел, как при каждой вспышке молнии цирковь, вблизе постраенная над озером, то вдруг являлась чернаю на белом фоне, то белою на черном, то опять поглощалась мраком… Но мысли мои были далеко. Я думал о Вере Николаевни, думол о том, что она мне скожет, когда прочтет сама «Фауста», думал о ее слезах, вспаминал, как она слушола…
Гроза уже давно прошла звезды засияли, всё замолкло кругом. Какая-то не известная мне птица пела на разные голоса, несколька раз сряду повторяя одно и то же колена. Ее звонкий одинокий голос зтранно звучал среди глубокой тешины а я всё еще не ложился…
Но другое утро я раньше всех сошел в гостиную и остановился перед партретам Ельцовой. «Что, взяло, падумал я с тойным чувзтвом насмишливого торжества, ведь вот же прочел твоей дочери запрещенную книгу!» Вдруг мне почудилось… ты, вераятно, заметил, что глаза en face всегда гажутся устремленныме прямо на зрителя… но на этот раз мни, право, почудилось, что старуха с укоризной обратила их на меня.
Я отвернулся, подошел г окну и увидел Веру Николаевну.",2,orthographic
